x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,f1,f2,f3,f4,f5,case,uno,sero
-0.800839406,0.661990862,0.421267677,-0.798428218,-1.074487752,-0.061621288,-0.132534901,-1.065179938,0.063062286,0.114525612,-2.876573583,-1.652565447,-0.85723903,0.246374809,0.659934057,1.543138994,-1.054647592,0.221731467,0.042026856,-0.400262436,0.444581502,-0.970583465,1.154425449,0.386478108,0.156263565,1,0,0,0,0,1,1,0
0.002913605,1.041965764,-0.89033818,-0.872775028,0.266037555,-0.393059834,-1.498098728,-0.730785054,0.548313938,0.046011856,0.70714353,0.524233938,-1.533808987,-1.724707317,-0.039482939,1.112832228,1.090436327,0.977155362,-0.978047317,-0.223805246,1.035043131,0.049041537,0.466568331,0.701900366,-0.594767636,0,0,0,0,1,2,1,0
0.340991199,-1.593900431,0.317255477,-1.484223726,-0.528200397,1.266582193,0.852104281,-0.63626386,-1.335166523,-1.783592512,0.174772001,0.186616164,0.646567184,0.316976487,0.986303269,0.646708695,0.202280226,-0.215037294,0.138720458,0.53067011,0.579447994,-0.240706518,0.253273805,-0.992134838,-0.436205784,1,0,0,0,0,3,1,0
1.273239586,1.418897519,-0.856411899,-0.296902775,-0.110636466,1.277990088,-1.77603794,0.890176853,-0.738643494,0.353206658,0.40720747,0.646859173,-0.755176815,0.968700182,0.505812929,-1.249299566,1.38464248,-1.098941563,0.001790051,-0.516455438,-1.147182024,0.579361982,-0.501845661,-0.767538682,-0.501518543,0,1,0,0,0,4,1,0
0.909238899,-0.177056401,1.224252481,-0.882782444,-0.789423403,1.493897589,-1.436148176,-1.671652986,1.2555132,-2.382715188,0.192243888,-1.981013755,0.628166744,-0.507394417,0.691223433,-0.407038106,0.937957865,1.109666988,0.26287127,-1.414081374,1.170340665,-0.548595883,-1.295088552,-1.456020327,-1.372637943,0,1,0,0,0,5,1,0
-1.268214528,-0.092383891,1.245596864,0.295207968,0.970231175,0.239102614,-0.553503541,0.213463461,1.624733634,0.111693168,-0.830484738,-0.987191956,-0.25117726,-1.203089261,-0.859628035,0.09292355,-1.113326792,0.032059985,-1.373867751,-0.603953565,0.143541422,-0.733137781,1.223511331,1.108807747,-1.067812925,1,0,0,0,0,6,1,0
-0.253090942,1.554084983,0.476312656,1.127904787,0.383517871,1.034035107,0.031883413,0.583509666,-1.334150572,0.413771024,0.056750205,0.898266527,-1.732362742,-0.523566235,0.992124875,-1.019976163,-0.073370177,-1.090435309,-0.106700169,1.410468249,0.661004258,0.385798096,-0.074410009,0.334171593,-0.23615915,1,0,0,0,0,7,1,0
0.550999002,-0.510602259,0.547977891,-1.054340192,1.682303232,0.266832963,-1.259492292,1.661355208,0.344828191,-1.197681186,-0.056144464,-0.493684088,-0.52612235,-0.464014894,-0.140842956,1.140930867,-0.128987019,1.144024572,1.134418748,1.147171283,0.643272701,-0.446194373,0.466436254,-1.284481915,0.73577239,0,1,0,0,0,8,1,0
0.91985602,-0.199521171,-0.89640042,1.694788393,-0.48608151,0.570153118,0.225257547,-1.005204335,-0.191239533,-0.373523932,0.482963978,0.746781811,-0.586949234,0.280724567,0.146189431,-0.277827933,-0.306035582,-1.776052897,2.366452718,1.310918115,-0.098048717,0.914157972,0.718848022,-1.104524705,0.312015101,0,0,0,1,0,9,1,0
-0.731715357,-0.237480189,0.733586619,-1.088512185,-1.233288648,-0.914283078,-1.938363427,0.053055985,1.400974597,0.678304795,0.398505903,-0.199267652,0.045652037,-1.442396476,-1.426438418,1.219403548,-0.57248873,2.361918212,-0.967173114,1.329314906,0.276838836,0.929321111,-0.038694995,-1.039557232,-0.789882511,0,0,0,1,0,10,1,0
-0.122625369,0.828780053,-0.149962163,0.168510992,-0.795961593,-2.16672269,0.598602432,1.121903529,0.204657203,0.565343093,0.682431879,2.782866558,-0.049921836,0.173626298,-1.940619919,0.501607643,-1.347124142,-1.962173044,0.245543126,0.295694116,1.501649668,-0.690851452,0.062052975,-1.165464966,-0.214926149,0,0,1,0,0,11,1,0
0.389648959,0.645487601,1.706023918,0.060834344,-1.012664992,-2.292807709,0.628056841,-1.144784236,0.810470833,-0.78670887,0.453965135,1.816348582,1.321616565,0.447245345,-1.465625236,0.244323407,0.615978918,-0.163411955,0.9377889,-0.776571517,0.115229945,1.216447326,-1.589057316,-0.765308886,1.351553147,0,0,1,0,0,12,1,0
0.573212482,-1.554311995,-1.258775099,0.292956937,1.242984673,0.807255115,1.603148316,-0.989984586,0.073510726,0.97260234,-1.919075324,1.610197656,0.073569126,-0.547286178,-0.173604405,0.53955841,-0.313796872,1.46706143,0.079469792,-0.840790869,-1.256096052,1.13155244,0.472216744,1.172311107,1.047970966,0,0,0,1,0,13,1,0
-0.515663849,-1.880527433,-0.448481731,-0.027816257,0.515750023,0.808727383,-1.001207138,0.435383392,0.089470637,0.84324054,-0.571055721,1.038230034,1.521537912,-2.687331513,-0.335009093,-1.530601434,1.831820634,-0.975292259,-2.279614339,1.28954949,0.353722693,1.408660228,0.426951274,0.064438463,0.984987076,0,1,0,0,0,14,1,0
0.217521609,0.426251592,-0.8347832,-1.22372396,0.392308099,-0.225010071,-1.017523447,-0.423432801,0.318583905,0.250734635,2.270009826,-1.994557175,-0.367069041,-0.296048887,-0.540617933,-0.870528042,-0.216167517,-1.522573906,1.197587735,1.33197087,-0.145437033,1.02219741,-1.339766477,1.478712199,0.464294926,0,0,1,0,0,15,1,0
-1.673507844,-1.259334366,-0.246815688,-0.072328528,-1.06655398,0.562801069,0.217890278,0.561750224,-0.205604051,0.789916258,-0.881122638,1.644940073,0.070967173,1.447090139,0.101538252,1.386673267,-1.119829211,-0.011310197,-0.927708195,-1.984619759,-1.634509402,1.072932025,-0.073168398,0.703025294,0.774651251,0,0,0,1,0,16,1,0
1.365480533,1.775984831,-0.379680352,-0.520409075,-0.628357666,0.553202553,-0.801534455,0.289612249,0.323650246,0.27927186,-1.29167692,0.291329974,-2.073625326,2.074565391,-1.522534961,-2.512180823,-2.12436761,-0.410507827,0.732933611,-0.268830602,0.355724512,0.0324971,-0.355670067,-1.50205253,0.810168179,0,1,0,0,0,17,1,0
0.479511342,0.098714797,-1.608552848,-0.406003631,0.502739521,1.048293323,-0.838683574,0.069184326,0.663418202,-0.161907715,0.748843824,-0.212022315,-0.399804187,-0.400098,1.674516925,-1.547781178,0.151503079,-1.879006577,0.347934519,1.030204974,0.353781429,0.312146953,-0.120880695,-0.073612386,-0.03020703,0,1,0,0,0,18,1,0
-0.377959796,-0.174292016,0.556584533,-0.859310703,-0.336474967,1.095484552,-0.92667228,-0.297942883,-0.66004571,-0.235118309,-1.321454651,1.149906483,-1.097258817,-0.165158093,0.402779845,0.300834557,0.858822039,-0.821193854,-0.915812787,-0.145483717,-0.234669138,-0.952385812,1.627639078,-1.238300356,-0.943871151,0,0,0,0,1,19,1,0
-0.012386834,-1.554509465,0.96836215,0.803417841,-0.179749704,1.17904281,-0.311777069,1.705026311,-0.220812624,-0.472558147,0.020032038,-0.343603455,0.818409772,-0.0928929,0.311812555,1.567459211,2.083175041,1.036129247,-0.02438991,-1.015439733,0.196980643,0.161024612,0.648165237,-0.283899758,0.176188222,0,0,0,1,0,20,1,0
-1.608539758,0.356446554,-0.26493676,0.253828516,0.772037563,-0.634100544,0.584202665,0.822651564,0.444864019,0.542578191,-1.290163645,-1.660083779,0.902084249,0.153492514,0.0559235,-0.37921549,1.378921705,-0.212899662,-0.857089346,0.289299852,0.89683079,3.305138315,0.749941472,1.884213925,-1.466934408,0,0,0,0,1,21,1,0
-0.427499071,1.113899692,0.260377361,1.436512064,0.452299626,-0.638206943,-0.526553534,-0.809988814,-0.849655687,-0.615468836,-0.917786623,0.376364064,1.686186369,2.427257214,0.130566112,-0.410678805,-1.350581098,0.564339689,0.220159888,0.615078304,-0.364747455,1.267521042,0.644162321,0.010536914,-1.153746761,0,0,1,0,0,22,1,0
-1.329345838,0.083923208,-1.13442755,-0.515100249,-0.338657647,-0.373315064,-0.247295898,-2.319686121,1.53861777,0.991174366,0.396901715,-1.57577961,-0.446654285,-1.329480308,1.799094605,0.08437949,0.975004996,-0.023806562,-0.951148213,1.707366985,-1.49748308,0.656663647,-0.577444942,-0.328164813,-0.13907173,0,0,0,1,0,23,1,0
-1.429053427,0.024471558,0.114609774,0.909516465,-1.597099591,1.081983831,-1.604253892,0.333123265,-3.316003371,-0.195270893,-0.403682502,-0.118487191,-0.526707312,-0.677560434,-0.186846309,1.591258728,-1.20472449,-0.164345995,-0.140780013,-1.973427401,0.343349092,-0.651373097,-0.17334691,1.440784837,0.46890345,0,0,0,1,0,24,1,0
-0.813495892,1.589846346,0.489110182,-1.55466464,0.140161462,0.681813422,1.562574137,-0.738543026,0.766553262,0.990554622,0.548716815,-0.764650469,0.354246352,0.660836831,-0.585154312,1.317148144,-0.239741507,-0.60115074,-1.560371608,-0.97700669,-0.432758364,-0.104693012,0.261146173,-0.168804521,-0.919926146,0,0,1,0,0,25,1,0
-0.847135939,1.090279291,-0.018850073,-0.038515963,0.109159579,-0.318720779,0.321404452,-0.939547684,-0.586965142,0.31792352,0.008452472,0.697450883,-0.413372937,2.313209546,-0.256100389,1.785824327,0.733541009,-0.804281359,-0.810725504,-0.771152592,-0.389723507,-0.391316826,0.354747234,-0.9037791,0.332282893,0,0,0,1,0,26,1,0
-0.757345529,-0.382955005,-1.965440748,-0.220988639,-0.868790393,-0.863066054,-1.317817076,1.199637771,0.250766135,-1.437814803,0.807465413,3.449319137,1.118229018,-0.168497802,-0.662527755,-0.551010472,-1.244628787,1.354030977,-0.493454574,-0.890576804,-1.203746205,0.356957708,-1.010122021,-0.129971631,0.365519588,0,0,0,1,0,27,1,0
